genes,logFC,logCPM,F,PValue,FDR
204174_at,204174_at,-0.297502766130993,9.09624838917434,101.698630720249,0.00189009087528215,0.0320997786465986
201577_at,201577_at,0.300168463077253,9.05525166069229,334.033333934784,0.00203924328579004,0.034344255671514
208981_at,208981_at,-0.300235564262473,9.05059805093834,214.333627666,0.0020854032897759,0.0348314053606371
201015_s_at,201015_s_at,0.301234463676806,9.0336948620986,144.031490022313,0.00215287357867326,0.0356635860860546
221748_s_at,221748_s_at,-0.290135852693825,9.11852493324693,167.030376170465,0.00222913605343225,0.0366266988941999
203373_at,203373_at,-0.30207604991877,9.01735008575056,104.944286020212,0.0022517891689426,0.0367005315357499
201497_x_at,201497_x_at,-0.292703615360714,9.04523311057253,60.3159327525956,0.00274941241350049,0.0444524999014759
203476_at,203476_at,0.292575329914929,9.03682443570297,226.881840790057,0.00284196439201702,0.045584206637035
208982_at,208982_at,-0.280472746614536,9.1341546265227,237.672640609168,0.00292759713618561,0.0463081020900101
209031_at,209031_at,-0.296307777814387,8.99922108692325,68.3179646364356,0.0029329228438997,0.0463081020900101
201925_s_at,201925_s_at,-0.287428050273299,9.06877220725171,112.672473907592,0.00298723580921287,0.0468000276776682
204122_at,204122_at,-0.284352244932774,9.08387788620436,136.591981121076,0.00312165279462358,0.0485296945994943
